data_seed,node_index,top_k,model_seed_a,model_seed_b,jaccard
2026,439,2,0,1,1.0
2026,439,2,0,2,1.0
2026,439,2,1,2,1.0
2026,439,4,0,1,1.0
2026,439,4,0,2,1.0
2026,439,4,1,2,1.0
2026,439,6,0,1,1.0
2026,439,6,0,2,1.0
2026,439,6,1,2,1.0
2026,439,8,0,1,1.0
2026,439,8,0,2,1.0
2026,439,8,1,2,1.0
2026,546,2,0,1,1.0
2026,546,2,0,2,1.0
2026,546,2,1,2,1.0
2026,546,4,0,1,1.0
2026,546,4,0,2,1.0
2026,546,4,1,2,1.0
2026,546,6,0,1,1.0
2026,546,6,0,2,1.0
2026,546,6,1,2,1.0
2026,546,8,0,1,1.0
2026,546,8,0,2,1.0
2026,546,8,1,2,1.0
2026,94,2,0,1,1.0
2026,94,2,0,2,1.0
2026,94,2,1,2,1.0
2026,94,4,0,1,1.0
2026,94,4,0,2,1.0
2026,94,4,1,2,1.0
2026,94,6,0,1,1.0
2026,94,6,0,2,1.0
2026,94,6,1,2,1.0
2026,94,8,0,1,1.0
2026,94,8,0,2,1.0
2026,94,8,1,2,1.0
2026,526,2,0,1,1.0
2026,526,2,0,2,1.0
2026,526,2,1,2,1.0
2026,526,4,0,1,1.0
2026,526,4,0,2,1.0
2026,526,4,1,2,1.0
2026,526,6,0,1,1.0
2026,526,6,0,2,1.0
2026,526,6,1,2,1.0
2026,526,8,0,1,1.0
2026,526,8,0,2,1.0
2026,526,8,1,2,1.0
2026,69,2,0,1,1.0
2026,69,2,0,2,1.0
2026,69,2,1,2,1.0
2026,69,4,0,1,1.0
2026,69,4,0,2,1.0
2026,69,4,1,2,1.0
2026,69,6,0,1,1.0
2026,69,6,0,2,1.0
2026,69,6,1,2,1.0
2026,69,8,0,1,1.0
2026,69,8,0,2,1.0
2026,69,8,1,2,1.0
2026,575,2,0,1,1.0
2026,575,2,0,2,1.0
2026,575,2,1,2,1.0
2026,575,4,0,1,1.0
2026,575,4,0,2,1.0
2026,575,4,1,2,1.0
2026,575,6,0,1,1.0
2026,575,6,0,2,1.0
2026,575,6,1,2,1.0
2026,575,8,0,1,1.0
2026,575,8,0,2,1.0
2026,575,8,1,2,1.0
2026,448,2,0,1,0.3333333333333333
2026,448,2,0,2,0.3333333333333333
2026,448,2,1,2,1.0
2026,448,4,0,1,0.6
2026,448,4,0,2,0.6
2026,448,4,1,2,1.0
2026,448,6,0,1,0.7142857142857143
2026,448,6,0,2,0.7142857142857143
2026,448,6,1,2,1.0
2026,448,8,0,1,1.0
2026,448,8,0,2,1.0
2026,448,8,1,2,1.0
2026,594,2,0,1,1.0
2026,594,2,0,2,1.0
2026,594,2,1,2,1.0
2026,594,4,0,1,1.0
2026,594,4,0,2,1.0
2026,594,4,1,2,1.0
2026,594,6,0,1,1.0
2026,594,6,0,2,1.0
2026,594,6,1,2,1.0
2026,594,8,0,1,1.0
2026,594,8,0,2,1.0
2026,594,8,1,2,1.0
2026,256,2,0,1,1.0
2026,256,2,0,2,1.0
2026,256,2,1,2,1.0
2026,256,4,0,1,1.0
2026,256,4,0,2,1.0
2026,256,4,1,2,1.0
2026,256,6,0,1,1.0
2026,256,6,0,2,1.0
2026,256,6,1,2,1.0
2026,256,8,0,1,1.0
2026,256,8,0,2,1.0
2026,256,8,1,2,1.0
2026,126,2,0,1,1.0
2026,126,2,0,2,1.0
2026,126,2,1,2,1.0
2026,126,4,0,1,1.0
2026,126,4,0,2,1.0
2026,126,4,1,2,1.0
2026,126,6,0,1,1.0
2026,126,6,0,2,1.0
2026,126,6,1,2,1.0
2026,126,8,0,1,1.0
2026,126,8,0,2,1.0
2026,126,8,1,2,1.0
2026,251,2,0,1,1.0
2026,251,2,0,2,1.0
2026,251,2,1,2,1.0
2026,251,4,0,1,1.0
2026,251,4,0,2,1.0
2026,251,4,1,2,1.0
2026,251,6,0,1,1.0
2026,251,6,0,2,1.0
2026,251,6,1,2,1.0
2026,251,8,0,1,1.0
2026,251,8,0,2,1.0
2026,251,8,1,2,1.0
2026,110,2,0,1,1.0
2026,110,2,0,2,1.0
2026,110,2,1,2,1.0
2026,110,4,0,1,1.0
2026,110,4,0,2,1.0
2026,110,4,1,2,1.0
2026,110,6,0,1,1.0
2026,110,6,0,2,1.0
2026,110,6,1,2,1.0
2026,110,8,0,1,1.0
2026,110,8,0,2,1.0
2026,110,8,1,2,1.0
2026,403,2,0,1,1.0
2026,403,2,0,2,1.0
2026,403,2,1,2,1.0
2026,403,4,0,1,1.0
2026,403,4,0,2,1.0
2026,403,4,1,2,1.0
2026,403,6,0,1,1.0
2026,403,6,0,2,1.0
2026,403,6,1,2,1.0
2026,403,8,0,1,1.0
2026,403,8,0,2,1.0
2026,403,8,1,2,1.0
2026,396,2,0,1,1.0
2026,396,2,0,2,1.0
2026,396,2,1,2,1.0
2026,396,4,0,1,1.0
2026,396,4,0,2,0.6
2026,396,4,1,2,0.6
2026,396,6,0,1,1.0
2026,396,6,0,2,0.7142857142857143
2026,396,6,1,2,0.7142857142857143
2026,396,8,0,1,1.0
2026,396,8,0,2,1.0
2026,396,8,1,2,1.0
2026,299,2,0,1,1.0
2026,299,2,0,2,1.0
2026,299,2,1,2,1.0
2026,299,4,0,1,1.0
2026,299,4,0,2,1.0
2026,299,4,1,2,1.0
2026,299,6,0,1,1.0
2026,299,6,0,2,1.0
2026,299,6,1,2,1.0
2026,299,8,0,1,1.0
2026,299,8,0,2,1.0
2026,299,8,1,2,1.0
2026,167,2,0,1,1.0
2026,167,2,0,2,1.0
2026,167,2,1,2,1.0
2026,167,4,0,1,1.0
2026,167,4,0,2,1.0
2026,167,4,1,2,1.0
2026,167,6,0,1,1.0
2026,167,6,0,2,1.0
2026,167,6,1,2,1.0
2026,167,8,0,1,1.0
2026,167,8,0,2,1.0
2026,167,8,1,2,1.0
2026,346,2,0,1,0.3333333333333333
2026,346,2,0,2,0.3333333333333333
2026,346,2,1,2,1.0
2026,346,4,0,1,1.0
2026,346,4,0,2,1.0
2026,346,4,1,2,1.0
2026,346,6,0,1,1.0
2026,346,6,0,2,1.0
2026,346,6,1,2,1.0
2026,346,8,0,1,1.0
2026,346,8,0,2,1.0
2026,346,8,1,2,1.0
2026,260,2,0,1,1.0
2026,260,2,0,2,1.0
2026,260,2,1,2,1.0
