data_seed,model_seed,node_index,repetition,top_k,jaccard
2026,0,439,0,2,1.0
2026,0,439,0,4,1.0
2026,0,439,0,6,1.0
2026,0,439,0,8,1.0
2026,0,439,1,2,1.0
2026,0,439,1,4,1.0
2026,0,439,1,6,1.0
2026,0,439,1,8,1.0
2026,0,439,2,2,1.0
2026,0,439,2,4,1.0
2026,0,439,2,6,1.0
2026,0,439,2,8,1.0
2026,0,439,3,2,1.0
2026,0,439,3,4,1.0
2026,0,439,3,6,1.0
2026,0,439,3,8,1.0
2026,0,439,4,2,1.0
2026,0,439,4,4,1.0
2026,0,439,4,6,1.0
2026,0,439,4,8,1.0
2026,0,439,5,2,1.0
2026,0,439,5,4,1.0
2026,0,439,5,6,1.0
2026,0,439,5,8,1.0
2026,0,439,6,2,1.0
2026,0,439,6,4,1.0
2026,0,439,6,6,1.0
2026,0,439,6,8,1.0
2026,0,439,7,2,1.0
2026,0,439,7,4,1.0
2026,0,439,7,6,1.0
2026,0,439,7,8,1.0
2026,0,439,8,2,1.0
2026,0,439,8,4,1.0
2026,0,439,8,6,1.0
2026,0,439,8,8,1.0
2026,0,439,9,2,1.0
2026,0,439,9,4,1.0
2026,0,439,9,6,1.0
2026,0,439,9,8,1.0
2026,0,546,0,2,1.0
2026,0,546,0,4,1.0
2026,0,546,0,6,1.0
2026,0,546,0,8,1.0
2026,0,546,1,2,1.0
2026,0,546,1,4,1.0
2026,0,546,1,6,1.0
2026,0,546,1,8,1.0
2026,0,546,2,2,1.0
2026,0,546,2,4,1.0
2026,0,546,2,6,1.0
2026,0,546,2,8,1.0
2026,0,546,3,2,1.0
2026,0,546,3,4,1.0
2026,0,546,3,6,1.0
2026,0,546,3,8,1.0
2026,0,546,4,2,1.0
2026,0,546,4,4,1.0
2026,0,546,4,6,1.0
2026,0,546,4,8,1.0
2026,0,546,5,2,1.0
2026,0,546,5,4,1.0
2026,0,546,5,6,1.0
2026,0,546,5,8,1.0
2026,0,546,6,2,1.0
2026,0,546,6,4,1.0
2026,0,546,6,6,1.0
2026,0,546,6,8,1.0
2026,0,546,7,2,1.0
2026,0,546,7,4,1.0
2026,0,546,7,6,1.0
2026,0,546,7,8,1.0
2026,0,546,8,2,1.0
2026,0,546,8,4,1.0
2026,0,546,8,6,1.0
2026,0,546,8,8,1.0
2026,0,546,9,2,1.0
2026,0,546,9,4,1.0
2026,0,546,9,6,1.0
2026,0,546,9,8,1.0
2026,0,94,0,2,1.0
2026,0,94,0,4,1.0
2026,0,94,0,6,1.0
2026,0,94,0,8,1.0
2026,0,94,1,2,1.0
2026,0,94,1,4,1.0
2026,0,94,1,6,1.0
2026,0,94,1,8,1.0
2026,0,94,2,2,1.0
2026,0,94,2,4,1.0
2026,0,94,2,6,1.0
2026,0,94,2,8,1.0
2026,0,94,3,2,1.0
2026,0,94,3,4,1.0
2026,0,94,3,6,1.0
2026,0,94,3,8,1.0
2026,0,94,4,2,1.0
2026,0,94,4,4,1.0
2026,0,94,4,6,1.0
2026,0,94,4,8,1.0
2026,0,94,5,2,1.0
2026,0,94,5,4,1.0
2026,0,94,5,6,1.0
2026,0,94,5,8,1.0
2026,0,94,6,2,1.0
2026,0,94,6,4,1.0
2026,0,94,6,6,1.0
2026,0,94,6,8,1.0
2026,0,94,7,2,1.0
2026,0,94,7,4,1.0
2026,0,94,7,6,1.0
2026,0,94,7,8,1.0
2026,0,94,8,2,1.0
2026,0,94,8,4,1.0
2026,0,94,8,6,1.0
2026,0,94,8,8,1.0
2026,0,94,9,2,1.0
2026,0,94,9,4,1.0
2026,0,94,9,6,1.0
2026,0,94,9,8,1.0
2026,0,526,0,2,1.0
2026,0,526,0,4,1.0
2026,0,526,0,6,1.0
2026,0,526,0,8,1.0
2026,0,526,1,2,1.0
2026,0,526,1,4,1.0
2026,0,526,1,6,1.0
2026,0,526,1,8,1.0
2026,0,526,2,2,1.0
2026,0,526,2,4,1.0
2026,0,526,2,6,1.0
2026,0,526,2,8,1.0
2026,0,526,3,2,1.0
2026,0,526,3,4,1.0
2026,0,526,3,6,1.0
2026,0,526,3,8,1.0
2026,0,526,4,2,1.0
2026,0,526,4,4,1.0
2026,0,526,4,6,1.0
2026,0,526,4,8,1.0
2026,0,526,5,2,1.0
2026,0,526,5,4,1.0
2026,0,526,5,6,1.0
2026,0,526,5,8,1.0
2026,0,526,6,2,1.0
2026,0,526,6,4,1.0
2026,0,526,6,6,1.0
2026,0,526,6,8,1.0
2026,0,526,7,2,1.0
